"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"-0.3875","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV146_unknown","","0.004","false","interacts with","ASV82_ANPR (interacts with) ASV146_unknown","",""
"-0.3571","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV145_unknown","","0.008","false","interacts with","ASV82_ANPR (interacts with) ASV145_unknown","",""
"-0.3569","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV144_ANPR","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV144_ANPR","",""
"-0.4712","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV1431_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV1431_unknown","",""
"-0.4551","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV1430_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV1430_unknown","",""
"-0.4627","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV142_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV142_unknown","",""
"-0.4309","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV1395_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV1395_unknown","",""
"0.8003","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV139_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV139_ANPR","",""
"0.4118","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV137_ANPR","","0.009","false","interacts with","ASV82_ANPR (interacts with) ASV137_ANPR","",""
"-0.3795","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV135_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV135_unknown","",""
"0.4295","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV133_ANPR","","0.005","false","interacts with","ASV82_ANPR (interacts with) ASV133_ANPR","",""
"0.8397","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV126_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV126_unknown","",""
"-0.4172","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV1257_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV1257_unknown","",""
"-0.3349","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV125_unknown","","0.003","false","interacts with","ASV82_ANPR (interacts with) ASV125_unknown","",""
"0.5348","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV124_Mesorhizobium","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV124_Mesorhizobium","",""
"-0.4931","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV121_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV121_Mesorhizobium","",""
"-0.4746","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV120_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV120_ANPR","",""
"0.7684","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV12_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV12_Mesorhizobium","",""
"-0.3615","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV1191_unknown","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV1191_unknown","",""
"0.5015","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV118_Mesorhizobium","","0.003","false","interacts with","ASV82_ANPR (interacts with) ASV118_Mesorhizobium","",""
"-0.4814","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV117_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV117_ANPR","",""
"-0.4769","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV111_Mesorhizobium","","0.003","false","interacts with","ASV82_ANPR (interacts with) ASV111_Mesorhizobium","",""
"-0.3774","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV110_ANPR","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV110_ANPR","",""
"0.7821","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV11_unknown","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV11_unknown","",""
"-0.4681","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV109_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV109_Mesorhizobium","",""
"-0.3713","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV108_Mesorhizobium","","0.002","false","interacts with","ASV82_ANPR (interacts with) ASV108_Mesorhizobium","",""
"0.8142","Strong","Positive","Positive_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV106_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV106_Mesorhizobium","",""
"-0.3552","Weak","Negative","Negative_Weak","interacts with","","","ASV82_ANPR (interacts with) ASV104_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV104_Mesorhizobium","",""
"-0.6181","Strong","Negative","Negative_Strong","interacts with","","","ASV82_ANPR (interacts with) ASV1_Mesorhizobium","","0.001","false","interacts with","ASV82_ANPR (interacts with) ASV1_Mesorhizobium","",""
"0.5871","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV76_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV76_Mesorhizobium","",""
"-0.2747","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV756_Mesorhizobium","","0.01","false","interacts with","ASV78_ANPR (interacts with) ASV756_Mesorhizobium","",""
"0.8564","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV75_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV75_ANPR","",""
"-0.4154","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV748_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV748_Mesorhizobium","",""
"0.7289","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV74_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV74_ANPR","",""
"-0.4151","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV733_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV733_unknown","",""
"0.8539","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV72_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV72_ANPR","",""
"-0.3689","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV717_Pseudomonas","","0.004","false","interacts with","ASV78_ANPR (interacts with) ASV717_Pseudomonas","",""
"-0.3171","Weak","Negative","Negative_Weak","interacts with","","","ASV78_ANPR (interacts with) ASV70_Caulobacter","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV70_Caulobacter","",""
"0.7794","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV68_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV68_Mesorhizobium","",""
"0.5419","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV67_Mesorhizobium","","0.002","false","interacts with","ASV78_ANPR (interacts with) ASV67_Mesorhizobium","",""
"-0.4695","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV66_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV66_Mesorhizobium","",""
"0.5601","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV64_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV64_Mesorhizobium","",""
"-0.4499","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV63_unknown","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV63_unknown","",""
"-0.4026","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV626_Azorhizophilus","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV626_Azorhizophilus","",""
"0.7819","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV61_ANPR","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV61_ANPR","",""
"0.4698","Strong","Positive","Positive_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV60_Mesorhizobium","","0.004","false","interacts with","ASV78_ANPR (interacts with) ASV60_Mesorhizobium","",""
"-0.5784","Strong","Negative","Negative_Strong","interacts with","","","ASV78_ANPR (interacts with) ASV6_Mesorhizobium","","0.001","false","interacts with","ASV78_ANPR (interacts with) ASV6_Mesorhizobium","",""
