"Class","Family","Genus","Kingdom","name","Order","Phylum","RAmean","RARange","RAsum","selected","shared name","X"
"Gammaproteobacteria","Burkholderiaceae","unknown","Bacteria","ASV1430_unknown","Betaproteobacteriales","Proteobacteria","2.65585354864717E-6","Q1","2.65585354864717E-4","false","ASV1430_unknown","ASV1430"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV142_unknown","Rhizobiales","Proteobacteria","5.48658640344505E-5","Q2","0.00548658640344505","false","ASV142_unknown","ASV142"
"Gammaproteobacteria","Pseudomonadaceae","Pseudomonas","Bacteria","ASV141_Pseudomonas","Pseudomonadales","Proteobacteria","1.23324289290446E-4","Q3","0.0123324289290446","false","ASV141_Pseudomonas","ASV141"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV1395_unknown","Rhizobiales","Proteobacteria","2.75070546109886E-6","Q1","2.75070546109886E-4","false","ASV1395_unknown","ASV1395"
"Gammaproteobacteria","Burkholderiaceae","unknown","Bacteria","ASV1257_unknown","Betaproteobacteriales","Proteobacteria","3.17753906713144E-6","Q1","3.17753906713144E-4","false","ASV1257_unknown","ASV1257"
"Gammaproteobacteria","Burkholderiaceae","Duganella","Bacteria","ASV1224_Duganella","Betaproteobacteriales","Proteobacteria","3.53615850189876E-6","Q1","3.53615850189876E-4","false","ASV1224_Duganella","ASV1224"
"Alphaproteobacteria","Rhizobiaceae","Mesorhizobium","Bacteria","ASV121_Mesorhizobium","Rhizobiales","Proteobacteria","6.91820101253945E-5","Q2","0.00691820101253945","false","ASV121_Mesorhizobium","ASV121"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV120_ANPR","Rhizobiales","Proteobacteria","6.91884514614591E-5","Q2","0.00691884514614591","false","ASV120_ANPR","ASV120"
"Alphaproteobacteria","Rhizobiaceae","unknown","Bacteria","ASV1191_unknown","Rhizobiales","Proteobacteria","3.63922435878442E-6","Q1","3.63922435878442E-4","false","ASV1191_unknown","ASV1191"
"Alphaproteobacteria","Rhizobiaceae","ANPR","Bacteria","ASV117_ANPR","Rhizobiales","Proteobacteria","7.54604285063219E-5","Q3","0.00754604285063219","false","ASV117_ANPR","ASV117"
