Node1	Node2	Pvalue	Cor	CorrB	CorRange	CorrStrong	name	v1	n1	v2	n2	name2
ASV717_Pseudomonas	ASV48_Pseudomonas	0.001	0.4345	Positive	Strong	Positive_Strong	ASV717_Pseudomonas_ASV48_Pseudomonas	ASV717	Pseudomonas	ASV48	Pseudomonas	Pseudomonas_Pseudomonas
ASV74_ANPR	ASV48_Pseudomonas	0.004	-0.3966	Negative	Weak	Negative_Weak	ASV74_ANPR_ASV48_Pseudomonas	ASV74	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV76_Mesorhizobium	ASV48_Pseudomonas	0.009	-0.3498	Negative	Weak	Negative_Weak	ASV76_Mesorhizobium_ASV48_Pseudomonas	ASV76	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV78_ANPR	ASV48_Pseudomonas	0.006	-0.3572	Negative	Weak	Negative_Weak	ASV78_ANPR_ASV48_Pseudomonas	ASV78	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV8_Mesorhizobium	ASV48_Pseudomonas	0.001	-0.4875	Negative	Strong	Negative_Strong	ASV8_Mesorhizobium_ASV48_Pseudomonas	ASV8	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV80_ANPR	ASV48_Pseudomonas	0.005	-0.4001	Negative	Strong	Negative_Strong	ASV80_ANPR_ASV48_Pseudomonas	ASV80	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV81_Mesorhizobium	ASV48_Pseudomonas	0.004	-0.3642	Negative	Weak	Negative_Weak	ASV81_Mesorhizobium_ASV48_Pseudomonas	ASV81	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV879_Mesorhizobium	ASV48_Pseudomonas	0.004	0.3897	Positive	Weak	Positive_Weak	ASV879_Mesorhizobium_ASV48_Pseudomonas	ASV879	Mesorhizobium	ASV48	Pseudomonas	Mesorhizobium_Pseudomonas
ASV89_ANPR	ASV48_Pseudomonas	0.004	-0.371	Negative	Weak	Negative_Weak	ASV89_ANPR_ASV48_Pseudomonas	ASV89	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV95_ANPR	ASV48_Pseudomonas	0.005	-0.3812	Negative	Weak	Negative_Weak	ASV95_ANPR_ASV48_Pseudomonas	ASV95	ANPR	ASV48	Pseudomonas	ANPR_Pseudomonas
ASV57_Pseudomonas	ASV49_ANPR	0.004	-0.3992	Negative	Weak	Negative_Weak	ASV57_Pseudomonas_ASV49_ANPR	ASV57	Pseudomonas	ASV49	ANPR	Pseudomonas_ANPR
ASV717_Pseudomonas	ASV49_ANPR	0.007	-0.3426	Negative	Weak	Negative_Weak	ASV717_Pseudomonas_ASV49_ANPR	ASV717	Pseudomonas	ASV49	ANPR	Pseudomonas_ANPR
ASV6_Mesorhizobium	ASV57_Pseudomonas	0.001	0.4542	Positive	Strong	Positive_Strong	ASV6_Mesorhizobium_ASV57_Pseudomonas	ASV6	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV64_Mesorhizobium	ASV57_Pseudomonas	0.009	-0.3632	Negative	Weak	Negative_Weak	ASV64_Mesorhizobium_ASV57_Pseudomonas	ASV64	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV67_Mesorhizobium	ASV57_Pseudomonas	0.007	-0.3714	Negative	Weak	Negative_Weak	ASV67_Mesorhizobium_ASV57_Pseudomonas	ASV67	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV68_Mesorhizobium	ASV57_Pseudomonas	0.004	-0.4342	Negative	Strong	Negative_Strong	ASV68_Mesorhizobium_ASV57_Pseudomonas	ASV68	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV717_Pseudomonas	ASV57_Pseudomonas	0.002	0.4361	Positive	Strong	Positive_Strong	ASV717_Pseudomonas_ASV57_Pseudomonas	ASV717	Pseudomonas	ASV57	Pseudomonas	Pseudomonas_Pseudomonas
ASV75_ANPR	ASV57_Pseudomonas	0.008	-0.3575	Negative	Weak	Negative_Weak	ASV75_ANPR_ASV57_Pseudomonas	ASV75	ANPR	ASV57	Pseudomonas	ANPR_Pseudomonas
ASV8_Mesorhizobium	ASV57_Pseudomonas	0.001	-0.496	Negative	Strong	Negative_Strong	ASV8_Mesorhizobium_ASV57_Pseudomonas	ASV8	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV80_ANPR	ASV57_Pseudomonas	0.004	-0.3967	Negative	Weak	Negative_Weak	ASV80_ANPR_ASV57_Pseudomonas	ASV80	ANPR	ASV57	Pseudomonas	ANPR_Pseudomonas
ASV81_Mesorhizobium	ASV57_Pseudomonas	0.004	-0.3611	Negative	Weak	Negative_Weak	ASV81_Mesorhizobium_ASV57_Pseudomonas	ASV81	Mesorhizobium	ASV57	Pseudomonas	Mesorhizobium_Pseudomonas
ASV82_ANPR	ASV57_Pseudomonas	0.007	-0.3699	Negative	Weak	Negative_Weak	ASV82_ANPR_ASV57_Pseudomonas	ASV82	ANPR	ASV57	Pseudomonas	ANPR_Pseudomonas
ASV89_ANPR	ASV57_Pseudomonas	0.004	-0.3744	Negative	Weak	Negative_Weak	ASV89_ANPR_ASV57_Pseudomonas	ASV89	ANPR	ASV57	Pseudomonas	ANPR_Pseudomonas
ASV717_Pseudomonas	ASV6_Mesorhizobium	0.001	0.3337	Positive	Weak	Positive_Weak	ASV717_Pseudomonas_ASV6_Mesorhizobium	ASV717	Pseudomonas	ASV6	Mesorhizobium	Pseudomonas_Mesorhizobium
ASV717_Pseudomonas	ASV61_ANPR	0.001	-0.4259	Negative	Strong	Negative_Strong	ASV717_Pseudomonas_ASV61_ANPR	ASV717	Pseudomonas	ASV61	ANPR	Pseudomonas_ANPR
