"Cor","CorRange","CorrB","CorrStrong","interaction","n1","n2","name","name2","Pvalue","selected","shared interaction","shared name","v1","v2"
"-0.3907","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV64_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.006","false","interacts with","ASV64_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV64","ASV48"
"-0.3632","Weak","Negative","Negative_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV64_Mesorhizobium (interacts with) ASV57_Pseudomonas","Mesorhizobium_Pseudomonas","0.009","false","interacts with","ASV64_Mesorhizobium (interacts with) ASV57_Pseudomonas","ASV64","ASV57"
"0.2897","Weak","Positive","Positive_Weak","interacts with","Mesorhizobium","Pseudomonas","ASV6_Mesorhizobium (interacts with) ASV171_Pseudomonas","Mesorhizobium_Pseudomonas","0.007","false","interacts with","ASV6_Mesorhizobium (interacts with) ASV171_Pseudomonas","ASV6","ASV171"
"0.4561","Strong","Positive","Positive_Strong","interacts with","Mesorhizobium","Pseudomonas","ASV6_Mesorhizobium (interacts with) ASV48_Pseudomonas","Mesorhizobium_Pseudomonas","0.001","false","interacts with","ASV6_Mesorhizobium (interacts with) ASV48_Pseudomonas","ASV6","ASV48"
"0.4542","Strong","Positive","Positive_Strong","interacts with","Mesorhizobium","Pseudomonas","ASV6_Mesorhizobium (interacts with) ASV57_Pseudomonas","Mesorhizobium_Pseudomonas","0.001","false","interacts with","ASV6_Mesorhizobium (interacts with) ASV57_Pseudomonas","ASV6","ASV57"
"-0.4016","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV106_Mesorhizobium","Pseudomonas_Mesorhizobium","0.004","false","interacts with","ASV57_Pseudomonas (interacts with) ASV106_Mesorhizobium","ASV57","ASV106"
"-0.3241","Weak","Negative","Negative_Weak","interacts with","Pseudomonas","ANPR","ASV57_Pseudomonas (interacts with) ASV139_ANPR","Pseudomonas_ANPR","0.006","false","interacts with","ASV57_Pseudomonas (interacts with) ASV139_ANPR","ASV57","ASV139"
"-0.4994","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV15_Mesorhizobium","Pseudomonas_Mesorhizobium","0.001","false","interacts with","ASV57_Pseudomonas (interacts with) ASV15_Mesorhizobium","ASV57","ASV15"
"0.3613","Weak","Positive","Positive_Weak","interacts with","Pseudomonas","Mesorhizobium","ASV57_Pseudomonas (interacts with) ASV2_Mesorhizobium","Pseudomonas_Mesorhizobium","0.009","false","interacts with","ASV57_Pseudomonas (interacts with) ASV2_Mesorhizobium","ASV57","ASV2"
"-0.4084","Strong","Negative","Negative_Strong","interacts with","Pseudomonas","ANPR","ASV57_Pseudomonas (interacts with) ASV21_ANPR","Pseudomonas_ANPR","0.001","false","interacts with","ASV57_Pseudomonas (interacts with) ASV21_ANPR","ASV57","ASV21"
