,H2S2,CV,ASV
ASV1481_unknown,0.0,1,ASV1481_unknown
ASV250_Mesorhizobium,0.0,1,ASV250_Mesorhizobium
ASV25_Mesorhizobium,0.0,1,ASV25_Mesorhizobium
ASV244_ANPR,0.0,1,ASV244_ANPR
ASV231_Mesorhizobium,0.0,1,ASV231_Mesorhizobium
ASV16_Mesorhizobium,0.0,1,ASV16_Mesorhizobium
ASV161_Mesorhizobium,0.0,1,ASV161_Mesorhizobium
ASV166_Mesorhizobium,0.0,1,ASV166_Mesorhizobium
ASV171_Pseudomonas,0.0,1,ASV171_Pseudomonas
ASV186_Mesorhizobium,0.0,1,ASV186_Mesorhizobium
ASV20_Mesorhizobium,0.0,1,ASV20_Mesorhizobium
ASV19_Mesorhizobium,0.0,1,ASV19_Mesorhizobium
ASV134_Mesorhizobium,0.0,1,ASV134_Mesorhizobium
ASV30_Mesorhizobium,0.0,1,ASV30_Mesorhizobium
ASV1186_Mesorhizobium,0.0,1,ASV1186_Mesorhizobium
ASV1018_Mesorhizobium,0.0,1,ASV1018_Mesorhizobium
ASV110_ANPR,0.0,1,ASV110_ANPR
ASV108_Mesorhizobium,0.0,1,ASV108_Mesorhizobium
ASV115_Mesorhizobium,0.0,1,ASV115_Mesorhizobium
ASV328_unknown,0.0,1,ASV328_unknown
ASV359_Mesorhizobium,0.0,1,ASV359_Mesorhizobium
ASV104_Mesorhizobium,0.0,1,ASV104_Mesorhizobium
ASV358_Mesorhizobium,0.0,1,ASV358_Mesorhizobium
ASV38_Mesorhizobium,0.0,1,ASV38_Mesorhizobium
ASV125_unknown,0.0,1,ASV125_unknown
ASV1258_ANPR,0.0,1,ASV1258_ANPR
ASV13_Mesorhizobium,0.0,1,ASV13_Mesorhizobium
ASV338_Aminobacter,0.0,1,ASV338_Aminobacter
ASV23_Mesorhizobium,-5.89483612355577e-06,1,ASV23_Mesorhizobium
ASV853_Caulobacter,-1.53791735232149e-05,1,ASV853_Caulobacter
ASV523_unknown,-3.07583470464297e-05,1,ASV523_unknown
ASV560_unknown,-3.5884738220834706e-05,1,ASV560_unknown
ASV534_Cutibacterium,-4.127849660993811e-05,1,ASV534_Cutibacterium
ASV498_unknown,-7.07380334826692e-05,1,ASV498_unknown
ASV717_Pseudomonas,-7.66328696062249e-05,1,ASV717_Pseudomonas
ASV458_unknown,-9.43173779768922e-05,1,ASV458_unknown
ASV591_unknown,-0.000106107050224004,1,ASV591_unknown
ASV426_unknown,-0.000117896722471115,1,ASV426_unknown
ASV77_Caulobacter,-0.000133286170534529,1,ASV77_Caulobacter
ASV74_ANPR,-0.00016204381059924903,1,ASV74_ANPR
ASV76_Mesorhizobium,-0.00016566168685306222,1,ASV76_Mesorhizobium
ASV626_Azorhizophilus,-0.000176845083706673,1,ASV626_Azorhizophilus
ASV386_unknown,-0.000188634755953784,1,ASV386_unknown
ASV421_unknown,-0.000188634755953784,1,ASV421_unknown
ASV396_unknown,-0.00019655059475564264,1,ASV396_unknown
ASV343_Mesorhizobium,-0.0002162561058046133,1,ASV343_Mesorhizobium
ASV1447_Rugamonas,-0.000281951514592272,1,ASV1447_Rugamonas
ASV202_unknown,-0.0002906048946843071,1,ASV202_unknown
ASV70_Caulobacter,-0.000292204296941082,1,ASV70_Caulobacter
ASV392_unknown,-0.000294741806177788,1,ASV392_unknown
ASV124_Mesorhizobium,-0.0003107831614170125,1,ASV124_Mesorhizobium
ASV307_unknown,-0.000318321150672011,1,ASV307_unknown
ASV375_unknown,-0.000341900495166234,1,ASV375_unknown
ASV1224_Duganella,-0.000353720991033942,1,ASV1224_Duganella
ASV274_Mesorhizobium,-0.00045979721763735,1,ASV274_Mesorhizobium
ASV747_unknown,-0.0004828661669133769,1,ASV747_unknown
ASV112_Mesorhizobium,-0.0005699403937338219,1,ASV112_Mesorhizobium
ASV667_unknown,-0.000601603748941257,1,ASV667_unknown
ASV836_Rhizobacter,-0.000604914158579785,1,ASV836_Rhizobacter
ASV146_unknown,-0.000660221645838246,1,ASV146_unknown
ASV581_unknown,-0.00069659381456356,1,ASV581_unknown
ASV111_Mesorhizobium,-0.000717188423688714,1,ASV111_Mesorhizobium
ASV382_Mesorhizobium,-0.000736173008572853,1,ASV382_Mesorhizobium
ASV47_Mesorhizobium,-0.0008523076272451191,1,ASV47_Mesorhizobium
ASV145_unknown,-0.000925489271398255,1,ASV145_unknown
ASV4_Mesorhizobium,-0.0009598844734312901,1,ASV4_Mesorhizobium
ASV519_Methylovorus,-0.0010110180531112064,1,ASV519_Methylovorus
ASV81_Mesorhizobium,-0.0010516289422819916,1,ASV81_Mesorhizobium
ASV391_Duganella,-0.00118419636128754,1,ASV391_Duganella
ASV315_Duganella,-0.00125083944655481,1,ASV315_Duganella
ASV64_Mesorhizobium,-0.0015145141815936002,1,ASV64_Mesorhizobium
ASV67_Mesorhizobium,-0.0018912539328988687,1,ASV67_Mesorhizobium
ASV41_unknown,-0.002037392762242374,1,ASV41_unknown
ASV249_Duganella,-0.0020813148168084103,1,ASV249_Duganella
ASV35_Mesorhizobium,-0.002145332566820913,1,ASV35_Mesorhizobium
